example_id                                                                   | status  | run_time        |
---------------------------------------------------------------------------- | ------- | --------------- |
./spec/domain/concerns/infection_report_state_machine_concern_spec.rb[1:1:1] | passed  | 0.01053 seconds |
./spec/domain/concerns/infection_report_state_machine_concern_spec.rb[1:1:2] | passed  | 0.0143 seconds  |
./spec/domain/entities/inventories/query_inventory_spec.rb[1:1:1:1:1]        | passed  | 0.16186 seconds |
./spec/domain/entities/inventories/query_inventory_spec.rb[1:1:1:2:1]        | passed  | 0.01846 seconds |
./spec/domain/entities/inventories/query_inventory_spec.rb[1:1:2:1:1]        | passed  | 0.0402 seconds  |
./spec/domain/entities/inventories/query_inventory_spec.rb[1:1:2:2:1]        | passed  | 0.04607 seconds |
./spec/domain/entities/inventories/query_inventory_spec.rb[2:1:1]            | passed  | 0.00506 seconds |
./spec/domain/entities/inventories/query_inventory_spec.rb[2:1:2]            | passed  | 0.01323 seconds |
./spec/domain/entities/inventories/query_inventory_spec.rb[2:1:3]            | passed  | 0.77697 seconds |
./spec/domain/entities/inventories/query_inventory_spec.rb[2:1:4]            | passed  | 0.01769 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:1:1]                               | passed  | 0.01453 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:1:2]                               | passed  | 0.01259 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:1:3]                               | passed  | 0.00456 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:1:4]                               | passed  | 0.01702 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:1:5]                               | passed  | 0.00611 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:2:1]                               | passed  | 0.02028 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:2:2]                               | passed  | 0.04944 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:3:1]                               | passed  | 0.01259 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:3:2]                               | passed  | 0.0057 seconds  |
./spec/domain/entities/item_spec.rb[1:1:1:3:3]                               | passed  | 0.01814 seconds |
./spec/domain/entities/item_spec.rb[1:1:1:3:4]                               | passed  | 0.00943 seconds |
./spec/domain/entities/item_spec.rb[1:1:2:1]                                 | passed  | 0.03367 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:1:1]                               | passed  | 0.04623 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:1:2]                               | passed  | 0.01466 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:1:3]                               | passed  | 0.00735 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:1:4]                               | passed  | 0.01628 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:1:5]                               | passed  | 0.01796 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:2:1]                               | passed  | 0.0113 seconds  |
./spec/domain/entities/item_spec.rb[2:1:1:2:2]                               | passed  | 0.03916 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:3:1]                               | passed  | 0.02473 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:3:2]                               | passed  | 0.01314 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:3:3]                               | passed  | 0.01875 seconds |
./spec/domain/entities/item_spec.rb[2:1:1:3:4]                               | passed  | 0.01618 seconds |
./spec/domain/entities/item_spec.rb[2:1:2:1]                                 | passed  | 0.01235 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:1:1]                  | passed  | 0.04467 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:1:2]                  | passed  | 0.01183 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:1:3]                  | passed  | 0.0115 seconds  |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:1:4]                  | passed  | 0.01139 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:1:5]                  | passed  | 0.0185 seconds  |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:2:1]                  | passed  | 0.01425 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:2:2]                  | passed  | 0.05404 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:3:1]                  | passed  | 0.01626 seconds |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:3:2]                  | passed  | 0.0432 seconds  |
./spec/domain/entities/survivor/creating_spec.rb[1:1:1:4:1]                  | passed  | 0.04211 seconds |
